feet,corridor,state,exit,city,truck_stop,lat,lon,waffle_house_address,truck_stop_address
170,I-65,AL,304,Good Hope,Jack's Truck Stop,34.11486,-86.86387,"1707 County Road 437, Cullman, AL 35055",
189,I-75,KY,175,Walton,Pilot,38.91759,-84.63184,"11213 Frontage Rd, Walton, KY 41094-9574",
190,I-75,GA,293,Cartersville,JP Truck Center,34.2409,-84.77486,"2310 Highway 411 NE, Cartersville, GA 30121-5129",
205,I-12,LA,40,Hammond,Pilot,30.47809,-90.45646,"2101 SW Railroad Ave, Hammond, LA 70403",
238,I-10,FL,142,Marianna,Pilot,30.72596,-85.18602,"2215 Highway 71, Marianna, FL 32448-2541",
246,I-520,GA,9,Augusta,C Mart,33.39936,-82.00515,"3408 Mike Padgett Hwy, Augusta, GA 30906",3403 Mike Padgett Hwy
252,I-10,TX,877,Orange,Pilot,30.11405,-93.82053,"2310 Highway 62 S, Orange, TX 77630-8321",
272,I-80,OH,234,Hubbard,Flying J #697,41.18165,-80.5699,"2284 Gala St, Hubbard, OH 44425-3202",2226 N Main St
301,I-75,OH,36,Franklin,Pilot,39.54266,-84.29161,"6840 OH-123, Franklin, OH 45005",
303,I-44,MO,80B,Springfield,Rapid Robert's Travel Plaza,37.25389,-93.26542,"3135 N Glenstone Ave, Springfield, MO 65803",3165 N Glenstone Ave
322,I-40,AR,142,Maumelle,Morgan SuperStop,34.88456,-92.38292,"20514 Highway 365 N, North Little Rock, AR 72113",20515 Highway 365 N
336,I-10,TX,829,Winnie,JP Truck Stop,29.83065,-94.38455,"243 Spur 5, Winnie, TX 77665-7308",
347,I-65,KY,121,Brooks,Pilot Travel Center #356,38.0616,-85.70231,"2021 E Blue Lick Rd, Shepherdsville, KY 40165",2050 E Blue Lick Rd
383,I-10,AL,13,Theodore,Pilot,30.5601,-88.20673,"7031 Theodore Dawes Rd, Theodore, AL 36582-4077",
385,I-81,VA,98,Dublin,A-Plus Dublin Travel Plaza,37.08237,-80.68993,"4614 Cleburne Blvd, Dublin, VA 24084",4625 Cleburne Blvd
386,I-20,TX,596,Longview,RaceTrac,32.44855,-94.72351,"3107 Estes Pkwy, Longview, TX 75602-4233",
390,I-10,LA,209,LaPlace,TA Express #0479,30.08712,-90.44526,"4304 New Highway 51, Laplace, LA 70068",4301 S Main St
